Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,374.399994,414.500000,348.250000,368.100006,272.268341,111670096
2010-02-01,367.174988,742.500000,354.075012,380.899994,283.234131,54282810
2010-03-01,760.200012,828.299988,377.500000,390.325012,290.242554,74838560
2010-04-01,393.174988,820.700012,377.799988,382.700012,284.572693,93376066
2010-05-01,380.625000,421.500000,342.625000,371.524994,276.263000,63786312
2010-06-01,371.524994,397.000000,365.000000,375.500000,279.218750,54347776
2010-07-01,375.000000,429.899994,362.875000,419.899994,315.465729,78910160
2010-08-01,421.500000,442.500000,414.274994,421.875000,318.440155,55141156
2010-09-01,421.000000,876.000000,417.549988,463.475006,349.840820,70894688
2010-10-01,463.500000,536.474976,434.500000,526.450012,397.375610,74402284
2010-11-01,526.025024,1052.000000,499.475006,538.000000,406.093842,52248874
2010-12-01,532.000000,1143.000000,524.200012,582.825012,441.606354,56704742
2011-01-01,583.500000,1198.000000,543.900024,579.750000,439.276367,71709466
2011-02-01,582.500000,599.450012,527.950012,555.125000,422.038391,71496466
2011-03-01,556.500000,1119.849976,528.625000,591.950012,450.034821,71696100
2011-04-01,592.500000,1203.599976,570.000000,582.825012,443.097565,74530282
2011-05-01,585.000000,591.700012,554.049988,578.575012,439.866394,42229286
2011-06-01,578.500000,602.500000,529.000000,592.099976,450.149048,62408962
2011-07-01,599.000000,602.500000,556.049988,568.500000,438.151367,65778624
2011-08-01,571.200012,574.950012,451.000000,521.200012,403.808655,90908646
2011-09-01,536.500000,537.375000,484.500000,518.650024,401.833038,83728068
2011-10-01,510.000000,577.000000,507.649994,557.900024,432.242737,81270134
2011-11-01,554.000000,578.000000,520.500000,557.775024,434.560394,49110028
2011-12-01,570.000000,598.450012,557.200012,580.325012,452.129181,53522314
2012-01-01,580.500000,604.950012,522.650024,566.200012,441.124451,83449324
2012-02-01,564.700012,640.424988,554.125000,610.974976,478.646301,56845398
2012-03-01,611.500000,613.500000,555.900024,584.400024,457.827179,62311588
2012-04-01,585.000000,625.000000,523.825012,623.299988,488.301910,77519054
2012-05-01,625.000000,647.625000,597.049988,622.674988,487.812225,71222046
2012-06-01,620.000000,643.500000,598.099976,638.724976,500.386047,40116886
2012-07-01,639.500000,642.000000,587.599976,621.825012,493.456909,63937164
2012-08-01,619.049988,694.400024,609.049988,671.875000,535.803101,35416802
2012-09-01,675.000000,719.900024,630.549988,647.950012,516.723694,60426644
2012-10-01,647.500000,667.450012,527.500000,657.750000,524.538879,36891286
2012-11-01,657.450012,674.000000,628.025024,657.000000,526.348755,27664660
2012-12-01,657.500000,661.000000,598.500000,627.924988,503.055786,51445728
2013-01-01,633.474976,700.000000,627.650024,672.075012,538.426147,72807950
2013-02-01,672.000000,762.500000,671.075012,758.500000,610.444458,53279530
2013-03-01,757.549988,798.799988,745.500000,787.875000,634.085632,53438672
2013-04-01,782.500000,787.500000,682.500000,689.200012,554.671509,67258384
2013-05-01,689.200012,763.750000,686.750000,749.224976,602.979858,52107158
2013-06-01,752.000000,772.349976,690.349976,759.075012,610.907227,57602648
2013-07-01,756.000000,915.750000,732.500000,907.750000,743.735779,57188856
2013-08-01,905.025024,1025.000000,847.599976,1016.599976,836.690674,60835374
2013-09-01,1010.000000,1039.400024,947.025024,963.900024,793.317017,61485930
2013-10-01,966.000000,1129.430054,958.349976,1056.030029,869.142761,61919532
2013-11-01,1055.000000,1074.069946,985.000000,1002.169983,828.112305,36357132
2013-12-01,997.500000,1092.469971,991.525024,1086.030029,897.407593,40673516
2014-01-01,1090.050049,1192.400024,1073.619995,1120.530029,925.915710,66137366
2014-02-01,1111.000000,1140.000000,1042.550049,1137.880005,943.609131,45670390
2014-03-01,1135.900024,1149.500000,1005.700012,1066.569946,884.473877,64102864
2014-04-01,1072.500000,1132.000000,1050.000000,1094.599976,907.718384,50211136
2014-05-01,1094.599976,1126.699951,999.750000,1070.680054,887.882446,62287858
2014-06-01,1072.000000,1217.500000,1028.000000,1212.699951,1005.654968,47278736
2014-07-01,1209.449951,1307.180054,1167.500000,1290.030029,1090.513672,37681358
2014-08-01,1287.500000,1293.969971,1215.000000,1261.180054,1070.232422,37398676
2014-09-01,1262.699951,1391.219971,1257.050049,1368.300049,1161.134033,38972334
2014-10-01,1376.000000,1419.849976,1207.500000,1303.930054,1106.510498,52122622
2014-11-01,1324.500000,1345.949951,1275.500000,1321.500000,1125.962769,32515954
