Date,Open,High,Low,Close,Adj Close,Volume
2010-09-01,18.490000,18.490000,17.415001,17.959999,5.538095,33720
2010-10-01,17.615000,19.930000,17.150000,19.250000,5.935877,140710
2010-11-01,19.200001,20.299999,17.605000,18.500000,5.704609,467390
2010-12-01,19.495001,20.200001,19.000000,19.500000,6.012966,145050
2011-01-01,19.500000,20.480000,19.000000,19.615000,6.048428,183240
2011-02-01,19.504999,20.500000,19.315001,19.400000,5.982131,265960
2011-03-01,18.610001,19.790001,16.219999,17.660000,5.445590,322940
2011-04-01,19.100000,20.400000,17.325001,18.360001,5.661439,378000
2011-05-01,17.500000,19.980000,17.500000,18.049999,5.565848,75250
2011-06-01,18.500000,18.799999,16.100000,18.500000,5.704609,196920
2011-07-01,18.590000,23.000000,18.000000,21.125000,6.514047,786580
2011-08-01,20.500000,21.295000,16.400000,19.285000,8.088970,42640
2011-09-01,19.400000,19.500000,16.040001,16.605000,6.964860,73540
2011-10-01,16.809999,18.400000,16.700001,18.000000,7.549984,36280
2011-11-01,16.200001,17.549999,13.800000,15.780000,6.618820,32450
2011-12-01,15.780000,17.500000,14.500000,15.300000,6.417487,251450
2012-01-01,15.200000,18.400000,13.630000,15.020000,6.300043,84540
2012-02-01,15.025000,17.750000,14.720000,17.504999,7.342360,451910
2012-03-01,17.400000,18.434999,14.110000,14.350000,6.019016,873730
2012-04-01,14.800000,16.500000,14.505000,16.315001,6.843221,109550
2012-05-01,16.315001,16.825001,14.630000,15.800000,6.627209,72350
2012-06-01,15.900000,17.500000,15.800000,16.799999,7.046652,42290
2012-07-01,16.799999,18.799999,15.830000,15.990000,6.706903,82430
2012-08-01,16.000000,17.395000,16.000000,16.600000,10.689488,122880
2012-09-01,16.889999,18.094999,16.514999,17.584999,11.323774,153380
2012-10-01,18.094999,20.200001,17.400000,20.030001,12.898222,620620
2012-11-01,20.200001,26.650000,19.600000,26.520000,17.077425,464340
2012-12-01,26.450001,30.799999,25.000000,26.504999,17.067766,555880
2013-01-01,26.299999,27.990000,24.500000,25.990000,16.736132,361140
2013-02-01,26.000000,28.000000,25.500000,26.190001,16.864922,428950
2013-03-01,26.299999,28.100000,25.200001,26.500000,17.064545,365600
2013-04-01,26.549999,28.299999,26.504999,27.500000,17.708492,148740
2013-05-01,27.500000,28.200001,25.504999,27.500000,17.708492,124070
2013-06-01,27.100000,28.000000,25.100000,28.000000,18.030462,67290
2013-07-01,26.200001,26.480000,25.379999,26.150000,16.839165,209250
2013-08-01,26.150000,26.184999,21.700001,23.000000,21.467247,77980
2013-09-01,22.500000,27.500000,22.500000,25.400000,23.707310,54250
2013-10-01,25.400000,27.155001,23.500000,26.855000,25.065348,138340
2013-11-01,26.600000,30.389999,25.950001,30.000000,28.000757,394670
2013-12-01,30.000000,30.100000,28.000000,30.010000,28.010092,95150
2014-01-01,30.010000,31.000000,28.700001,30.500000,28.467443,427780
2014-02-01,29.500000,44.740002,29.230000,40.880001,38.155704,1436020
2014-03-01,41.049999,43.500000,40.255001,42.700001,39.854412,1190800
2014-04-01,42.505001,54.860001,42.505001,52.630001,49.122673,1326220
2014-05-01,52.630001,92.239998,52.630001,88.790001,82.872925,4352530
2014-06-01,90.500000,105.000000,82.900002,87.599998,81.762222,4756324
2014-07-01,89.449997,92.900002,78.099998,80.800003,75.415382,1650690
2014-08-01,80.000000,84.949997,68.500000,77.000000,72.735023,1029951
2014-09-01,79.099998,88.199997,70.000000,78.500000,74.151939,1196681
2014-10-01,78.500000,80.000000,67.650002,73.550003,69.476128,1224000
2014-11-01,74.800003,91.650002,73.349998,85.199997,80.480827,2217446
2014-12-01,85.199997,90.500000,79.000000,81.699997,77.174698,2272939
2015-01-01,82.099998,87.550003,79.500000,82.599998,78.024841,928511
2015-02-01,83.699997,86.000000,73.599998,74.550003,70.420731,904598
